0	1	396
0	2	60
0	29	218
1	0	208
1	23	172
1	32	499
2	0	211
2	26	393
2	34	472
29	0	57
29	337	378
29	358	175
23	1	314
23	13	158
23	24	474
32	1	374
26	2	474
26	33	427
34	2	477
34	33	24
34	53	402
3	4	58
3	7	105
3	40	349
4	3	197
4	18	120
4	19	123
7	3	406
7	5	186
7	16	230
7	17	478
40	3	66
40	16	148
40	39	478
40	179	431
18	4	239
18	179	384
19	4	112
19	6	191
19	17	444
5	6	266
5	7	122
5	10	365
6	5	287
6	11	259
6	19	195
10	5	202
10	8	144
10	11	305
11	6	6
11	9	255
11	10	2
16	7	189
16	40	232
16	47	310
17	7	315
17	19	90
8	9	125
8	10	99
8	47	455
9	8	181
9	11	177
9	20	390
47	8	250
47	16	71
47	46	89
47	178	57
20	9	355
20	21	117
12	13	120
12	174	199
12	1889	36
13	12	248
13	22	300
13	23	161
174	12	274
174	49	105
174	173	232
1889	12	280
1889	35	18
22	13	455
22	21	188
14	15	180
14	25	352
14	4730	264
15	14	229
15	4666	479
15	4697	45
25	14	232
25	4740	245
25	5484	12
25	5504	104
4730	14	298
4730	4701	390
4730	4732	19
4730	4740	143
4697	15	1
4697	4670	8
4697	4696	158
4697	4723	45
4666	15	412
4666	4664	67
4666	4667	37
4666	4670	286
179	18	85
179	40	417
179	175	30
21	20	494
21	22	448
24	23	369
24	336	127
24	337	50
337	24	363
337	29	390
337	335	121
336	24	215
336	335	185
336	390	415
4740	25	150
4740	4730	272
4740	4743	56
4740	4762	194
5484	25	477
5484	222	189
5484	5499	362
5504	25	233
5504	225	307
5504	5499	128
33	26	174
33	34	276
33	35	464
27	28	417
27	65	59
27	67	312
28	27	268
28	3456	311
28	3472	428
65	27	159
67	27	17
67	66	111
67	1297	220
3456	28	485
3456	1294	102
3456	3457	442
3472	28	272
358	29	220
30	31	336
30	87	390
30	1581	80
31	30	252
31	349	16
31	388	188
87	30	391
1581	30	104
1581	1585	58
1581	1594	160
388	31	40
388	335	269
388	389	111
388	390	173
349	31	258
349	347	92
349	350	320
35	33	331
35	36	32
35	1889	25
53	34	33
53	51	209
53	176	92
53	177	56
36	35	113
37	38	127
37	61	472
37	4783	292
38	37	378
38	223	254
38	224	456
38	4772	301
61	37	179
61	5215	262
4783	37	371
4783	225	97
4783	4762	289
4783	4782	55
4783	4796	179
223	38	498
224	38	57
224	225	65
4772	38	265
4772	4773	283
4772	5048	182
4772	5050	132
39	40	122
39	45	334
45	39	381
45	46	380
